cityName,country,lat,lng,temp,humidity,cloudiness,winds
yellowknife,ca,62.45,-114.38,30.2,68,90,2.24
tiksi,ru,71.64,128.87,32.48,98,0,4.16
leningradskiy,tj,69.38,178.42,46.88,74,8,13.89
nikolskoye,ru,59.7,30.79,50.0,81,75,6.71
butaritari,ki,3.07,172.79,85.31,100,0,7.74
karratha,au,-20.74,116.85,92.15,17,0,8.41
the valley,ai,18.22,-63.06,82.4,74,20,6.17
nishihara,jp,35.74,139.53,86.45,38,20,12.75
upata,ve,8.02,-62.41,71.72,92,8,5.5
avarua,ck,-21.21,-159.78,71.6,60,20,8.05
kavieng,pg,-2.57,150.8,85.94,100,8,4.61
la ronge,ca,55.1,-105.3,28.4,68,5,4.7
albany,au,42.65,-73.75,54.7,80,90,2.59
katsuura,jp,33.93,134.5,71.6,49,20,20.8
grindavik,is,63.84,-22.43,39.07,93,75,26.4
zyryanka,ru,65.73,150.89,33.47,86,92,11.32
bandarbeyla,so,9.49,50.81,78.38,93,0,16.02
eyl,so,7.98,49.82,78.47,96,12,10.31
bluff,nz,-23.58,149.07,83.69,25,0,11.99
fortuna,us,38.18,-1.13,63.5,88,0,2.59
koygorodok,ru,60.44,51.01,41.12,98,92,9.08
rikitea,pf,-23.12,-134.97,67.13,100,92,20.83
kaitangata,nz,-46.28,169.85,51.38,95,88,3.94
awjilah,ly,29.14,21.3,69.11,70,0,3.27
curup,id,-3.47,102.53,89.27,42,0,1.7
phetchaburi,th,13.1,99.94,87.8,70,40,9.17
clyde river,ca,70.47,-68.59,30.2,92,90,18.34
shar,kz,7.3,8.73,71.27,100,92,3.6
victoria,sc,5.28,115.24,84.22,83,90,6.93
kirakira,sb,-10.46,161.92,84.41,100,8,1.7
san policarpo,ph,12.18,125.51,82.7,96,68,7.18
sur,om,22.57,59.53,87.83,82,0,6.06
carnarvon,au,-30.97,22.13,68.48,35,0,13.67
barrow,us,-38.31,-60.23,42.11,87,92,9.64
maragogi,br,-9.01,-35.22,71.18,100,24,4.72
upernavik,gl,72.79,-56.15,35.09,100,88,11.43
lixourion,gr,38.2,20.43,64.38,72,40,13.87
caravelas,br,-17.73,-39.27,76.31,100,92,13.33
kapuskasing,ca,49.42,-82.43,32.0,95,20,4.7
hobart,au,-42.88,147.33,64.4,34,75,14.99
sitka,us,37.17,-99.65,73.34,66,0,16.02
lompoc,us,34.64,-120.46,59.72,93,75,4.16
port alfred,za,-33.59,26.89,72.8,68,8,17.36
berlevag,no,70.86,29.09,37.07,100,88,11.77
opuwo,na,-18.06,13.84,82.79,18,92,11.43
arkadelphia,us,34.12,-93.05,71.49,88,75,3.15
chhabra,in,24.67,76.85,94.31,45,0,4.94
mahebourg,mu,-20.41,57.7,73.4,83,40,3.36
chuy,uy,-33.69,-53.46,65.78,95,92,9.86
lasa,cn,34.92,32.53,73.26,88,20,3.36
vila,vu,45.18,8.4,55.33,93,90,3.36
arman,ru,59.7,150.17,48.2,71,75,4.47
mayo,ca,63.59,-135.9,32.0,82,75,2.24
champerico,gt,16.38,-93.6,75.2,78,40,8.05
merrill,us,42.03,-121.6,48.92,77,1,6.93
mbengwi,cm,6.0,10.01,58.67,93,36,1.92
carmen,cr,7.2,124.8,89.99,59,8,6.17
egvekinot,ru,66.32,-179.17,41.39,98,92,4.16
lagoa,pt,37.14,-8.45,69.8,88,0,3.36
grand-santi,gf,4.27,-54.38,80.0,65,0,4.94
luba,gq,17.32,120.7,79.73,95,48,4.38
port-cartier,ca,50.03,-66.88,37.4,93,90,2.24
longyearbyen,sj,78.22,15.63,23.0,67,20,5.82
kapaa,us,22.08,-159.32,80.55,93,40,11.41
kribi,cm,2.94,9.91,73.88,100,100,3.38
yining,cn,29.04,114.56,75.14,37,0,3.6
alampur,in,15.88,78.14,86.93,71,0,4.61
chokurdakh,ru,70.62,147.9,34.37,96,92,12.88
yar-sale,ru,66.83,70.83,39.23,100,0,7.63
seoul,kr,37.57,126.98,64.36,37,40,14.99
ushuaia,ar,-54.81,-68.31,32.0,100,0,9.17
mataura,pf,-46.19,168.86,51.2,84,92,9.53
punta arenas,cl,-53.16,-70.91,32.0,100,75,11.41
beringovskiy,ru,63.05,179.32,45.35,98,92,15.68
flinders,au,-34.58,150.85,69.8,49,0,17.22
ust-karsk,ru,52.71,118.82,58.85,45,0,5.95
kodiak,us,39.95,-94.76,60.08,100,90,3.36
kollam,in,8.88,76.6,84.2,79,75,6.93
bethel,us,60.79,-161.76,60.98,55,1,8.05
camacha,pt,33.08,-16.33,71.6,78,40,12.75
byron bay,au,-28.65,153.62,71.6,49,88,17.22
hasaki,jp,35.73,140.83,86.85,38,40,19.46
codrington,ag,-28.95,153.24,64.07,65,68,6.73
tutoia,br,-2.76,-42.27,77.3,84,0,15.57
khatanga,ru,71.98,102.47,38.15,99,92,16.69
kjollefjord,no,70.95,27.35,42.8,70,75,16.11
pevek,ru,69.7,170.27,45.89,85,68,27.09
san patricio,mx,-26.98,-56.83,81.26,66,92,7.96
paamiut,gl,61.99,-49.67,39.86,96,68,17.47
shenjiamen,cn,29.96,122.3,73.43,83,0,20.15
pinega,ru,64.7,43.39,42.2,98,92,5.06
norman wells,ca,65.28,-126.83,32.0,93,90,9.17
mae ramat,th,16.98,98.52,87.8,66,40,2.24
lengshuijiang,cn,27.66,111.45,71.9,64,8,6.17
hermanus,za,-34.42,19.24,54.08,96,80,2.15
tarabuco,bo,-19.18,-64.92,44.18,85,0,3.04
tasiilaq,gl,65.61,-37.64,32.0,100,68,9.17
san miguel,bo,-34.54,-58.72,57.2,67,90,12.75
provideniya,ru,64.42,-173.23,50.0,81,90,13.42
presidencia roque saenz pena,ar,-26.79,-60.44,82.7,61,12,12.44
ambilobe,mg,-13.19,49.05,81.44,35,0,12.21
gambela,et,8.25,34.59,64.16,99,88,4.16
roald,no,62.58,6.12,40.93,93,75,5.82
dunedin,nz,-45.87,170.5,50.03,92,92,3.49
pisco,pe,-13.71,-76.2,60.8,87,0,9.17
touzim,cz,50.06,12.99,37.24,80,75,2.24
tigil,ru,57.8,158.67,42.83,95,92,8.97
gat,ly,14.69,-16.54,76.67,90,12,3.38
dawlatabad,af,36.41,64.91,77.3,38,0,5.84
busselton,au,-33.64,115.35,66.14,87,44,10.98
saint-augustin,ca,44.83,-0.61,50.99,87,0,6.93
am timan,td,11.04,20.28,76.22,80,0,6.17
baruun-urt,mn,46.68,113.28,57.68,45,0,9.86
mandalgovi,mn,45.76,106.27,56.33,65,0,9.19
general pico,ar,-35.66,-63.75,48.5,62,92,5.39
smolensk,ru,54.79,32.05,42.47,84,0,11.99
mount gambier,au,-37.83,140.78,66.23,62,80,2.93
bredasdorp,za,-34.53,20.04,55.4,87,92,4.7
batagay-alyta,ru,67.8,130.41,21.77,86,20,4.16
port hawkesbury,ca,45.62,-61.36,37.4,100,1,5.82
saskylakh,ru,71.97,114.09,34.37,100,92,7.96
kahului,us,20.89,-156.47,79.66,77,40,17.22
lorengau,pg,-2.02,147.27,85.85,93,0,9.86
ust-nera,ru,64.57,143.24,29.06,89,88,2.15
gladstone,au,-23.84,151.26,74.15,59,12,14.34
klaksvik,fo,62.23,-6.59,39.2,64,64,12.75
georgetown,sh,6.8,-58.16,77.0,94,0,2.24
inyonga,tz,-6.72,32.06,72.89,47,0,10.76
awbari,ly,26.59,12.77,64.7,48,8,3.6
aksu,cn,52.04,76.93,57.2,54,0,6.71
bartica,gy,6.41,-58.62,77.0,94,0,2.24
hami,cn,42.84,93.51,73.61,45,0,7.96
bambous virieux,mu,-20.34,57.76,73.4,83,40,3.36
ust-barguzin,ru,53.41,109.03,54.17,68,32,5.95
haimen,cn,31.87,121.18,73.7,64,0,15.79
luanda,ao,-8.83,13.24,73.07,95,92,4.05
union,ph,47.36,-123.1,59.13,93,90,4.16
dingle,ie,11.0,122.67,85.58,71,56,8.41
kaunas,lt,54.9,23.9,41.0,75,0,10.29
ribeira grande,pt,38.52,-28.7,71.0,100,76,17.81
don sak,th,9.32,99.69,89.96,74,40,2.24
aykhal,ru,65.95,111.51,39.14,66,80,8.3
vao,nc,59.1,26.19,48.14,100,100,7.96
sabang,id,13.72,123.58,82.25,97,32,7.52
merritt,ca,50.11,-120.79,42.01,86,90,8.05
lastoursville,ga,-0.81,12.73,71.81,99,88,1.7
kikuchi,jp,33.0,130.85,74.39,49,40,13.87
novomykolayivka,ua,48.54,32.26,42.65,77,0,6.96
ilulissat,gl,69.22,-51.1,32.0,97,88,6.93
dikson,ru,73.51,80.55,39.05,96,44,27.87
port elizabeth,za,39.31,-74.98,61.83,96,1,7.52
chor,pk,25.52,69.77,93.86,44,0,7.85
mecca,sa,21.43,39.83,91.88,24,0,4.16
salalah,om,17.01,54.1,78.8,57,0,2.24
haukipudas,fi,65.17,25.5,39.2,93,0,5.82
dali,cn,25.6,100.24,59.03,100,92,2.26
lakes entrance,au,-37.88,147.99,61.64,73,0,5.17
yulara,au,-25.24,130.99,80.6,36,80,12.75
aden,ye,12.79,45.03,81.98,100,20,15.68
saint-philippe,re,45.36,-73.48,46.78,100,90,3.36
nanortalik,gl,60.14,-45.24,37.61,92,8,18.92
vostok,ru,46.45,135.83,55.7,67,48,4.83
tura,ru,25.52,90.21,83.6,86,64,2.15
